Id,realDonaldTrump
0,False
1,True
2,True
3,True
4,True
5,False
6,False
7,True
8,True
9,True
10,False
11,True
12,False
13,False
14,False
15,False
16,True
17,True
18,True
19,True
20,False
21,False
22,False
23,True
24,False
25,True
26,False
27,False
28,False
29,True
30,False
31,True
32,True
33,True
34,True
35,True
36,True
37,True
38,False
39,True
40,False
41,False
42,True
43,False
44,False
45,True
46,False
47,True
48,True
49,True
50,True
51,True
52,True
53,False
54,True
55,False
56,False
57,False
58,False
59,True
60,False
61,False
62,False
63,False
64,False
65,False
66,False
67,True
68,True
69,True
70,True
71,True
72,True
73,True
74,False
75,False
76,True
77,False
78,True
79,False
80,True
81,False
82,False
83,True
84,True
85,True
86,False
87,False
88,True
89,False
90,False
91,False
92,False
93,False
94,False
95,True
96,True
97,False
98,False
99,False
100,False
101,False
102,True
103,False
104,False
105,False
106,True
107,True
108,False
109,False
110,False
111,True
112,False
113,True
114,True
115,False
116,False
117,True
118,True
119,True
120,False
121,True
122,False
123,True
124,False
125,False
126,True
127,False
128,False
129,True
130,False
131,True
132,False
133,True
134,True
135,False
136,True
137,True
138,False
139,False
140,False
141,True
142,False
143,False
144,True
145,True
146,False
147,False
148,False
149,True
150,True
151,False
152,True
153,True
154,True
155,False
156,False
157,True
158,False
159,True
160,False
161,True
162,True
163,True
164,False
165,False
166,False
167,False
168,False
169,False
170,True
171,False
172,True
173,True
174,True
175,True
176,True
177,False
178,True
179,True
180,True
181,False
182,True
183,True
184,True
185,False
186,False
187,False
188,False
189,True
190,True
191,True
192,False
193,True
194,False
195,False
196,True
197,True
198,False
199,False
200,True
201,False
202,False
203,False
204,False
205,True
206,True
207,False
208,False
209,False
210,False
211,True
212,True
213,True
214,True
215,True
216,False
217,True
218,True
219,True
220,False
221,False
222,False
223,False
224,False
225,True
226,True
227,True
228,True
229,False
230,False
231,True
232,True
233,False
234,True
235,True
236,True
237,True
238,False
239,False
240,True
241,True
242,False
243,True
244,False
245,True
246,False
247,False
248,False
249,False
250,False
251,True
252,False
253,False
254,False
255,False
256,False
257,True
258,True
259,False
260,False
261,False
262,False
263,False
264,False
265,True
266,True
267,True
268,False
269,True
270,False
271,True
272,False
273,False
274,False
275,False
276,True
277,True
278,True
279,False
280,False
281,False
282,True
283,True
284,False
285,False
286,True
287,True
288,False
289,True
290,False
291,False
292,False
293,True
294,False
295,True
296,True
297,False
298,False
299,False
300,True
301,False
302,False
303,True
304,True
305,True
306,False
307,True
308,True
309,False
310,False
311,True
312,False
313,False
314,False
315,True
316,False
317,False
318,True
319,True
320,False
321,True
322,False
323,False
324,True
325,False
326,False
327,True
328,True
329,True
330,False
331,True
332,False
333,True
334,False
335,True
336,True
337,True
338,False
339,True
340,True
341,False
342,False
343,False
344,True
345,False
346,True
347,True
348,True
349,True
350,False
351,True
352,True
353,False
354,True
355,False
356,False
357,False
358,False
359,False
360,False
361,False
362,False
363,False
364,False
365,False
366,False
367,False
368,False
369,False
370,False
371,False
372,False
373,False
374,True
375,False
376,False
377,True
378,True
379,False
380,True
381,False
382,False
383,True
384,False
385,False
386,False
387,True
388,False
389,True
390,False
391,False
392,True
393,False
394,False
395,False
396,False
397,True
398,True
399,True
400,True
401,True
402,False
403,True
404,False
405,False
406,False
407,False
408,False
409,False
410,True
411,False
412,False
413,False
414,True
415,True
416,False
417,True
418,False
419,True
420,True
421,True
422,False
423,True
424,False
425,False
426,True
427,False
428,False
429,True
430,False
431,False
432,True
433,False
434,True
435,True
436,True
437,True
438,False
439,False
440,True
441,False
442,False
443,True
444,True
445,True
446,False
447,False
448,False
449,True
450,True
451,False
452,False
453,True
454,True
455,False
456,True
457,False
458,True
459,True
460,True
461,True
462,False
463,False
464,True
465,True
466,True
467,True
468,True
469,False
470,False
471,True
472,False
473,True
474,True
475,True
476,False
477,False
478,False
479,False
480,True
481,True
482,True
483,True
484,True
485,True
486,True
487,False
488,False
489,True
490,True
491,True
492,False
493,False
494,False
495,False
496,False
497,False
498,False
499,False
500,True
501,False
502,True
503,False
504,False
505,True
506,True
507,False
508,False
509,False
510,True
511,False
512,False
513,True
514,True
515,True
516,False
517,False
518,True
519,True
520,False
521,True
522,True
523,False
524,False
525,False
526,True
527,True
528,False
529,True
530,True
531,False
532,False
533,True
534,True
535,True
536,False
537,True
538,True
539,False
540,True
